age,M,S1,S2,I1,I2,I3,PV,PP
0,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
1,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
2,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
3,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
4,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
5,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
6,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
7,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
8,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
9,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
10,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
11,0.058075977,0.480946524,0.043039352,3.12E-05,2.13E-06,2.77E-06,0.000568517,0.417333538
12,0.011615195,0.526928882,0.10089219,3.64E-05,5.11E-06,3.78E-06,0.00127553,0.359242908
24,0.002323039,0.535734619,0.159804657,3.73E-05,8.19E-06,3.88E-06,0.00200912,0.300079152
36,0.000464608,0.499331477,0.197504376,0.002735637,0.000825932,0.000304335,0.064231118,0.234602517
48,9.29E-05,0.464138289,0.226741938,0.002735751,0.000992736,0.000302528,0.124119701,0.180876136
60,1.86E-05,0.39872791,0.229601659,0.00487289,0.002110972,0.000658846,0.233524389,0.130484749
72,3.72E-06,0.342493645,0.229432395,0.004365859,0.002170451,0.000731005,0.32734698,0.093455949
84,7.43E-07,0.294181918,0.228303522,0.003762897,0.002163582,0.000818468,0.404197692,0.066571177
96,1.49E-07,0.252683301,0.227342068,0.003233008,0.002154595,0.000910745,0.466452999,0.047223136
108,2.97E-08,0.217038327,0.227079583,0.002777007,0.002151753,0.000998918,0.516563569,0.033390812
120,5.95E-09,0.131374245,0.156968522,0.006317222,0.005700268,0.003636425,0.678257619,0.017745693
132,1.19E-09,0.079521397,0.114457424,0.004155005,0.004381831,0.003835232,0.784209814,0.009439296
144,2.38E-10,0.048134643,0.089430638,0.002538697,0.003419788,0.004069229,0.847381546,0.005025459
156,4.76E-11,0.029136106,0.075034285,0.001538374,0.002855278,0.004272705,0.884485256,0.002677995
168,9.52E-12,0.01763621,0.06691348,0.000931305,0.002535654,0.004421652,0.9061333,0.001428399
180,1.90E-12,0.010675274,0.062413426,0.000563732,0.002358167,0.004521945,0.918704847,0.000762609
